"TITLE","YEAR","NAME"
"Bones: Die Knochenjägerin (Season 4)              ","2010","David Boreanaz"
"Bones: Die Knochenjägerin (Season 5)              ","2011","David Boreanaz"
"Bones: Die Knochenjägerin (Season 6)              ","2012","David Boreanaz"
"Bones: Die Knochenjägerin (Season 7)              ","2013","David Boreanaz"
"Book of Eli, The                                  ","2010","Denzel Washington"
"Born2Die (Cradle 2 the Grave)                     ","2003"," Gabrielle Union"
"Born2Die (Cradle 2 the Grave)                     ","2003","Jet Li"
"Bounce                                            ","2000","Ben Affleck"
"Bourne Identity, The                              ","2002"," Gabriel Mann"
"Bourne Identity, The                              ","2002","Matt Damon"
"Bourne Supremacy, The                             ","2004","Matt Damon"
"Bourne Ultimatum, The                             ","2007","Matt Damon"
"Bowling for Columbine                             ","2002","Michael Moore"
"Braut des Prinzen, Die                            ","1987","Peter Falk"
"Bridget Jones's Diary                             ","2001","Renée Zellweger"
"Bridget Jones: The Edge of Reason                 ","2004","Renée Zellweger"
"Brothers Grimm, The                               ","2005","Matt Damon"
"Bus(c)h Piloten                                   ","2005","Eric Hufschmid-Dokumentation des 11. September 2001"
"Butterfly Effect 1, The                           ","2004","Ashton Kutcher"
"Butterfly Effect 2, The                           ","2006"," Dustin Milligan"
"Butterfly Effect 2, The                           ","2006"," Malcolm Stewart"
"Butterfly Effect 2, The                           ","2006","Eric Lively"
"Bärenbrüder (Brother Bear)                        ","2003","Joaquin Phoenix"
"Captain Corelli's Mandolin                        ","2001","Nicolas Cage"
"Cargo                                             ","2009","Martin Rapold"
"Carolina Moon (Lilien im Sommerwind)              ","2007","Claire Forlani"
"Cars                                              ","2006","Stimmen von Owen Wilson"
"Cars 2                                            ","2011","Stimmen von Owen Wilson"
"Casablanca                                        ","1942","Humphrey Bogart"
"Casanova                                          ","1976","Donald Sutherland"
"Casanova                                          ","2005","Heath Ledger"
"Cast Away                                         ","2000","Tom Hanks"
"Catch Me if You Can                               ","2002","Leonardo DiCaprio"
"Catwoman                                          ","2004"," Michael Massee"
"Catwoman                                          ","2004","Halle Berry"
"Changing-Up, The (Ausgewechselt)                  ","2011","Olivia Wilde"
"Chaos                                             ","2006"," Jessica Stehen"
"Chaos                                             ","2006","Jason Statham"
"Charlie Wilson's War                              ","2007","Tom Hanks"
"Che: Part One                                     ","2008","Benicio Del Toro"
"Che: Part Two                                     ","2008","Benicio Del Toro"
"Chef zum Verlieben, Ein (Two weeks notice)        ","2002"," Heather Burns"
"Chef zum Verlieben, Ein (Two weeks notice)        ","2002","Sandra Bullock"
"Children of Men, The                              ","2006","Clive Owen"
"Chocolat                                          ","2000","Juliette Binoche"
"Cinderella                                        ","1950","Ilene Woods"
"City of Angels (Stadt der Engel)                  ","1998","Nicolas Cage"
"City of God                                       ","2003","Alexandre Rodrigues"
"Cloverfield                                       ","2008","Lizzy Caplan"
"Conspiracy.com                                    ","2001","Ryan Phillippe"
"Constantine                                       ","2005","Keanu Reeves"
"Cool Runnings                                     ","1993","Leon Robinson |X Leon"
"Cowboys and Aliens                                ","2011","Olivia Wilde"
"Coyote Ugly                                       ","2000","Piper Perabo"
"Cube                                              ","1998","Maurice Dean Wint"
"D-Day 6.6.44                                      ","2004","BBC-Spielfilm mit dokumentarischem Hintergrund"
"Da Vinci Code, The                                ","2006","Tom Hanks"
"Dante's Peak                                      ","1997","Pierce Brosnan"
"Daredevil                                         ","2003","Ben Affleck"
"Darf ich Bitten? (Shall We Dance?)                ","2004","Richard Gere"
"Dark Angel - Season One                           ","2000","Jessica Alba"
"Dark Angel - Season Two                           ","2002","Jessica Alba"
"Dark Water (Dunkle Wasser)                        ","2005","Jennifer Connelly"
"Day After Tomorrow                                ","2004"," Jay O. Sanders"
"Day After Tomorrow                                ","2004","Dennis Quaid"
"Dead Man Walking                                  ","1995","Sean Penn"
"Death Proof                                       ","2007","Kurt Russell"
"Departed, The                                     ","2006","Leonardo DiCaprio"
"Deutschmeister, Die                               ","1955","Romy Schneider"
"Die Tribute von Panem III (Mockingjay) - Teil 1   ","2014","Jennifer Lawrence"
"Dirty Dancing I                                   ","1987","Jennifer Grey"
"Dirty Dancing II                                  ","2004","Diego Luna"
"District 9                                        ","2009","Sharlto Copley"
"Django Unchained                                  ","2012","Jamie Foxx"
"Dodgeball                                         ","2004"," Chris Williams"
"Dodgeball                                         ","2004"," Joel David Moore"
"Dodgeball                                         ","2004","Vince Vaughn"
"Dogma                                             ","1999"," Jason Lee"
"Dogma                                             ","1999","Ben Affleck"
"Dolmetscherin, Die (The Interpreter)              ","2005","Nicole Kidman"
"Down in the Valley                                ","2006","Edward Norton"
"Drachenzähmen (How to Train Your Dragon)          ","2010","Jay Baruchel"
"Dreamcatcher                                      ","2003"," Donnie Wahlberg"
"Dreamcatcher                                      ","2003","Morgan Freeman"
"Drei Haselnüsse für Aschenbrödel                  ","1974"," Kurt Böwe"
"Drei Haselnüsse für Aschenbrödel                  ","1974","Dorothea Meißner"
"Dreimäderlhaus, Das                               ","1958","Karlheinz Böhm"
"Drive                                             ","2011","Ryan Gosling"
"Dschungelbuch, Das                                ","2013","Jim Cummings"
"Duchess, The (Die Herzogin)                       ","2008","Keira Knightley"
"Dumbo                                             ","2001","Stimmen von Andreas Mannkopff"
"Déjà Vu                                           ","2006","Denzel Washington"
"E-Mail für dich (You've Got Mail)                 ","1998","Tom Hanks"
"Eagle Eye                                         ","2008","Shia LaBeouf"
"Eisbär, Der                                       ","1998","Til Schweiger"
"Eiskönigin, Die (Frozen)                          ","2013","Kristen Bell"
"Eisprinzessin, Die                                ","2005","Michelle Trachtenberg"
"Elizabeth: The Golden Age                         ","2007","Cate Blanchett"
"Elizabethtown                                     ","2005","Orlando Bloom"
"Ella - Verflixt & Zauberfaft                      ","2004","Anne Hathaway"
"Elysium                                           ","2013","Matt Damon"
"Emma                                              ","1996","Gwyneth Paltrow"
"Ende, Das (Assault on Precinct 13)                ","2005","Ethan Hawke"
"English Patient, The                              ","1996","Ralph Fiennes"
"Eragon                                            ","2006","Jeremy Irons"
"Evelyn                                            ","2002","Pierce Brosnan"
"Exit                                              ","2006","Mads Mikkelsen"
"Experiment, Das                                   ","2002","Moritz Bleibtreu"
"Extreme Rage (Man Apart)                          ","2003","Vin Diesel"
"Fahrenheit 9/11                                   ","2004","Michael Moore"
"Family Stone, The                                 ","2005","Claire Danes"
"Fantastic Four                                    ","2005","Ioan Gruffudd"
"Fantastic Four: Rise of the Silver Surfer         ","2007","Michael Chiklis"
"Far and Away (In einem Fernen Land)               ","1992","Tom Cruise"
"Fargo                                             ","1996","Frances McDormand"
"Fast and the Furious                              ","2001","Paul Walker"
"Festen                                            ","1997","Ulrich Thomsen"
"Fifth Element                                     ","1997","Bruce Willis"
"Fight Club                                        ","1999","Brad Pitt"
"Final Call, The                                   ","2004","Kim Basinger"
"Final Cut                                         ","2004","Robin Williams"
"Final Destination                                 ","2000","Devon Sawa"
"Final Destination 2                               ","2003","Ali Larter"
"Final Destination 3                               ","2006","Ryan Merriman"
"Final Destination 4                               ","2009","Bobby Campo"
"Finding Forrester                                 ","2000","Sean Connery"
"Finding Nemo                                      ","2003"," Barry Humphries"
"Finding Nemo                                      ","2003","Stimmen von Albert Brooks"
"Flags of Our Fathers                              ","2006","Ryan Phillippe"
"Flug 93 (United 93)                               ","2006"," Nancy McDoniel"
"Flug 93 (United 93)                               ","2006","J.J. Johnson"
"Fremde Sohn, Der (Changeling)                     ","2008","Angelina Jolie"
"French Kiss                                       ","1995","Meg Ryan"
"Frequency                                         ","2000","Dennis Quaid"
"From Dusk till Dawn                               ","1996","Harvey Keitel"
"From Hell                                         ","2001","Johnny Depp"
"Full Metal Jacket                                 ","1987","Matthew Modine"
"Fähnlein der sieben Aufrechten, Das               ","2001","Fabien Rohrer; Erich Vock"
"Gattaca                                           ","1997","Ethan Hawke"
"Geheimnisvolle Schatz von Troja, Der              ","2007","Heino Ferch"
"Geisha, The Memoirs of a                          ","2005","Ken Watanabe"
"Gestolene Herzen (Two If by Sea)                  ","1995","Sandra Bullock"
"Ghetto Gangz                                      ","2006"," Nicolas Woirion"
"Ghetto Gangz                                      ","2006","Cyril Raffaelli"
"Ghost Rider                                       ","2007","Nicolas Cage"
"Ghost Ship                                        ","2002","Gabriel Byrne"
"Ghostwriter, Der                                  ","2010","Ewan McGregor"
"Girl with the Dragon Tattoo, The (Verblendung)    ","2011","Daniel Craig"
"Gladiator                                         ","2000"," Richard Harris"
"Gladiator                                         ","2000","Russell Crowe"
"Golden Compass, The                               ","2007","Nicole Kidman"
"Gone Baby Gone                                    ","2007"," Amy Madigan"
"Gone Baby Gone                                    ","2007","Casey Affleck"
"Good Morning, Vietnam                             ","1987","Robin Williams"
"Good Shepherd, The                                ","2006","Matt Damon"
"Gothika                                           ","2003","Halle Berry"
"Green Zone                                        ","2010","Matt Damon"
"Grosse Erwartungen (Great Expectations)           ","1998","Ethan Hawke"
"Grosse Haie - Kleine Fische (Shark Tale)          ","2004","Stimmen von Will Smith"
"Grounding                                         ","2005","Hanspeter Müller"
"Half Light                                        ","2006","Demi Moore"
"Hamburger Hill                                    ","1987","Anthony Barrile"
"Hangover                                          ","2009","Zach Galifianakis"
"Hangover 3                                        ","2013","Zach Galifianakis"
"Happening, The                                    ","2008","Mark Wahlberg"
"Happy Feet                                        ","2006","Nicole Kidman"
"Harry Potter I - Stein der Weisen                 ","2001","Daniel Radcliffe"
"Harry Potter II - Kammer des Schreckens           ","2002","Daniel Radcliffe"
"Harry Potter III - Gefangene von Askaban          ","2004","Daniel Radcliffe"
"Harry Potter IV - Feuerkelch                      ","2005","Daniel Radcliffe"
"Harry Potter V - Orden des Phönix                 ","2007","Daniel Radcliffe"
"Harry Potter VI - Halbblutprinz                   ","2009","Daniel Radcliffe"
"Harry Potter VII - Heiligtümer des Todes (Teil 1) ","2010","Daniel Radcliffe"
"Harry Potter VII - Heiligtümer des Todes (Teil 2) ","2010","Daniel Radcliffe"
"Hart am Limit (Torque)                            ","2004","Martin Henderson"
"Haus am See, Das (The Lake House)                 ","2006","Sandra Bullock"
"Haven - Staffel 1                                 ","2010","Lucas Bryant"
"Haven - Staffel 2                                 ","2011","Lucas Bryant"
"Head in the Clouds                                ","2004","Charlize Theron"
"Hearts in Atlantis                                ","2001","Anthony Hopkins"
"Herr der Gezeiten (The Prince of Tides)           ","1991","Nick Nolte"
"Hinter dem Horizont (What Dreams May Come)        ","1998","Robin Williams"
"History of Violance, The                          ","2005","Viggo Mortensen"
"Hitch                                             ","2005","Will Smith"
"Hoch klingt der Radetzkymarsch                    ","1958","Paul Hörbiger"
"Hochzeits-Crasher, Die (Wedding Crashers)         ","2005","Owen Wilson"
"Hope Springs                                      ","2003","Colin Firth"
"Hostage                                           ","2005","Bruce Willis"
"Hotel Rwanda                                      ","2004","Don Cheadle"
"Hugo Cabret                                       ","2011","Ben Kingsley"
"Hölle Vietnams, Die (A Bright Shining Lie)        ","1998","Bill Paxton"
"I am Legend                                       ","2007","Will Smith"
"I, Robot                                          ","2004","Will Smith"
"I.Q.                                              ","1994","Meg Ryan"
"Ice Age 1                                         ","2002","Stimmen von Ray Romano"
"Ice Age 2: The Meltdown                           ","2006","Stimmen von Ray Romano"
"Ice Age 4: Continental Drift                      ","2012","Aziz Ansari"
"Identity                                          ","2003","John Cusack"
"Illusionist, The                                  ","2006","Edward Norton"
"Im Juli                                           ","2000","Moritz Bleibtreu"
"Im Weissen Rössl                                  ","1952","Johanna Matz"
"Inception                                         ","2010","Leonardo DiCaprio"
"Inglorious Basterds                               ","2009"," Daniel Brühl"
"Inglorious Basterds                               ","2009"," Til Schweiger"
"Inglorious Basterds                               ","2009","Brad Pitt"
"Inside Job                                        ","2010","Diverse Politiker"
"Inside Man                                        ","2006","Clive Owen"
"Insider, The                                      ","1999","Al Pacino"
"International, The                                ","2008","Clive Owen"
"Interstellar                                      ","2014"," Matt Damon"
"Interstellar                                      ","2014","Matthew McConaughey"
"Iron Man                                          ","2008","Robert Downey Jr."
"Island, The                                       ","2005","Ewan McGregor"
"Italian Job                                       ","2003","Mark Wahlberg"
"Jacket, The                                       ","2005","Adrien Brody"
"Jackie Brown                                      ","1997","Pam Grier"
"Jagdfieber (Open Season)                          ","2006","Stimmen von Jon Favreau"
"Jarhead                                           ","2005","Jake Gyllenhaal"
"Jeanne d'Arc - Die Frau des Jahrtausends          ","1999","Leelee Sobieski"
"Johanna von Orleans (Joan of Arc)                 ","1999","Milla Jovovich"
"Junge im gestreiften Pyjama, Der                  ","2008","Vera Farmiga"
"Jurassic World                                    ","2005","Bryce Dallas Howard"
"K-PAX                                             ","2001","Kevin Spacey"
"Kaltes Blut (Infamous)                            ","2006","Toby Jones"
"Kammer, Die (The Chamber)                         ","1996","Chris O'Donnell"
"Kate & Leopold                                    ","2001","Meg Ryan"
"Keeping the Faith                                 ","2000","Ben Stiller"
"Keinohrhasen                                      ","2008","Til Schweiger"
"Kill Bill, Volume 1                               ","2003","Uma Thurman"
"Kill Bill, Volume 2                               ","2004","Uma Thurman"
"Killing Fields                                    ","1984","Sam Waterston"
"King Arthur                                       ","2004","Keira Knightley"
"Kingdom of Heaven                                 ","2005","Orlando Bloom"
"Kingsman                                          ","2014","Adrian Quinton"
"Kiss Kiss, Bang Bang                              ","2005","Robert Downey"
"Knockin' on Heaven's Door                         ","1996","Til Schweiger"
"Krieg der Welten (War of the Worlds)              ","2005","Tom Cruise"
"Krieger und die Kaiserin, Der                     ","2000","Franke Potente"
"Kundun                                            ","1997","Tenzin Thuthob Tsarong"
"Königreich für ein Lama, Ein                      ","2000","Stimmen von Michael ""Bully"" Herbig"
"Kühe sind los, Die                                ","2004","Stimmen von Marie Bäumer"
"Küss den Frosch                                   ","2009","Anika Noni Rose"
"LOST - Staffel 1                                  ","2004","Matthew Fox"
"LOST - Staffel 2                                  ","2006","Matthew Fox"
"LOST - Staffel 3                                  ","2007","Matthew Fox"
"LOST - Staffel 4                                  ","2009","Matthew Fox"
"LOST - Staffel 5                                  ","2010","Matthew Fox"
"LOST - Staffel 6                                  ","2010","Matthew Fox"
"Lady in the Water                                 ","2006","Paul Giamatti"
"Last Days on Mars, The                            ","2013"," Yusra Warsama"
"Last Days on Mars, The                            ","2013","Liev Schreiber"
"Last King of Scotland, The                        ","2006","Forest Whitaker"
"Last Samurai, The                                 ","2003","Tom Cruise"
"Laws of Attraction                                ","2004","Pierce Brosnan"
"Lazarus Projekt, Das                              ","2008","Paul Walker"
"League of Extraordinary Gentlemen, The            ","2003","Sean Connery"
"Legend of 1900, The (Der Ozeanpianist)            ","1998","Tim Roth"
"Les Misérables                                    ","2012","Hugh Jackman"
"Letters From Iwo Jima                             ","2006","Ken Watanabe"
"Letters to Juliet (Biefe an Julia)                ","2010","Amanda Seyfried"
"Liebe auf Umwegen (Raising Helen)                 ","2004","Kate Hudson"
"Liebe und Eis (The Cutting Edge)                  ","1992","D.B. Sweeney"
"Life of David Gale                                ","2003","Kevin Spacey"
"Lion King                                         ","1994","Jonathan Taylor Thomas"
"Lissi und der wilde Kaiser                        ","2007","Lotte Ledl"
"Lola Rennt                                        ","1998","Franka Potente"
"Longest Day, The                                  ","1962","John Wayne"
"Lord of War                                       ","2005","Nicolas Cage"
"Lord of the Rings I - The Fellowship              ","2001"," Ch. Lee"
"Lord of the Rings I - The Fellowship              ","2001"," Sean Bean"
"Lord of the Rings I - The Fellowship              ","2001","Elijah Wood"
"Lord of the Rings II - The Two Towers             ","2002"," Ch. Lee"
"Lord of the Rings II - The Two Towers             ","2002","Elijah Wood"
"Lord of the Rings III - The Return of the King    ","2003"," Ch. Lee"
"Lord of the Rings III - The Return of the King    ","2003","Elijah Wood"
"Luftbrücke - Nur der Himmel war frei              ","2005","Heino Ferch"
"Machtlos (Rendition)                              ","2007","Jake Gyllenhaal"
"Madagascar                                        ","2005","Stimmen von Ben Stiller"
"Madagascar II                                     ","2008","Stimmen von Sacha Baron Cohen"
"Magische Schwert, Das                             ","1998","Stimmen von Nena"
"Magnolia                                          ","1999","Julianne Moore"
"Man about Town                                    ","2006","Ben Affleck"
"Mary Poppins                                      ","1964","Julie Andrews"
"Master and Commander                              ","2003","Russell Crowe"
"Matrix                                            ","1999","Keanu Reeves"
"Matrix Reloaded                                   ","2003"," Daniel Bernhardt "
"Matrix Reloaded                                   ","2003","K. Reeves"
"Matrix Revolutions                                ","2003","Keanu Reeves"
"Max Payne                                         ","2008","Mark Wahlberg"
"McLeods Töchter: Staffel 1                        ","2007","Lisa Chappell; Jessica Napier; Birdie Carter; Aaron Jeffery"
"McLeods Töchter: Staffel 2                        ","2007","Lisa Chappell; Birdie Carter; Jessica Napier; Aaron Jeffery"
"McLeods Töchter: Staffel 3                        ","2007","Lisa Chappell; Birdie Carter; Jessica Napier; Aaron Jeffery"
"McLeods Töchter: Staffel 4                        ","2007","Birdie Carter; Simmone MacKinnon; Aaron Jeffery; Myles Pollard"
"McLeods Töchter: Staffel 5                        ","2007","Birdie Carter; Simmone MacKinnon; Aaron Jeffery"
"McLeods Töchter: Staffel 6                        ","2008","Birdie Carter; Simmone MacKinnon; Aaron Jeffery"
"McLeods Töchter: Staffel 7                        ","2008","Birdie Carter; Simmone MacKinnon; Aaron Jeffery"
"McLeods Töchter: Staffel 8                        ","2009","Aaron Jeffery; Simmone MacKinnon; Michala Banas"
"Meet the Fockers                                  ","2004","Robert De Niro"
"Meet the Parents                                  ","2000","Ben Stiller"
"Mein Name ist Eugen                               ","2005","Beat Schlatter"
"Mercury Rising                                    ","1998","Bruce Willis"
"Merida - Legende der Highlands                    ","2012","Kelly Macdonald"
"Metro                                             ","1997","Eddie Murphy"
"Miami Vice                                        ","2006","Jamie Foxx"
"Milk                                              ","2008","Sean Penn"
"Million Dollar Baby                               ","2004","Clint Eastwood"
"Mimic                                             ","1997","Mira Sorvino"
"Minority Report                                   ","2002","Tom Cruise"
"Miss Undercover I                                 ","2000","Sandra Bullock"
"Miss Undercover II                                ","2005","Sandra Bullock"
"Missing, The                                      ","2003","Tommy Lee Jones"
"Mission to Mars                                   ","2000","Gary Sinise"
"Mission: Impossible                               ","1996","Tom Cruise"
"Mission: Impossible II                            ","2000","Tom Cruise"
"Mission: Impossible III                           ","2006","Tom Cruise"
"Mit aller Macht (Primary Colors)                  ","1998","John Travolta"
"Mitten ins Herz - Ein Song für Dich               ","2007","Drew Barrymore (Sophie Fischer)"
"Mona Lisa Smile                                   ","2003","Julia Roberts"
"Monster                                           ","2003","Charlize Theron"
"Monster Inc.                                      ","2001","Stimmen von Billy Crystal"
"Monsters University                               ","2013","Nathan Fillion"
"Monty Python and the Holy Grail                   ","1975","Graham Chapman"
"Monty Python's Life of Brian                      ","1979","Terry Jones"
"Monuments Men, The                                ","2014","George Clooney"
"Moonlight and Valentino                           ","1995","Elizabeth Perkins"
"Mr. and Mrs. Smith                                ","2005","Brad Pitt"
"Mulan                                             ","1998","Stimmen vong-Na Wen"
"My Super Ex-Girlfriend                            ","2006","Uma Thurman"
"Mystic River                                      ","2003","Sean Penn"
"Mädchenjahre einer Königin                        ","1954","Romy Schneider"
"Männerpension                                     ","1995","Til Schweiger"
"Männerzirkus (Someone Like You)                   ","2001","Ashley Judd"
"München                                           ","2005","Daniel Craig"
"NBA - Die 100 Besten Spiele der NBA               ","2004","Michael Jordan"
"NBA - Dunks                                       ","2004","Michael Jordan"
"Narnia I, The Chronicles of Narnia                ","2005","Tilda Swinton"
"Narnia II - Prinz Kaspian von Narnia              ","2008","Ben Barnes"
"National Treasure I                               ","2004","Nicolas Cage"
"National Treasure II: Book of Secrets             ","2007","Nicolas Cage"
"Natural Born Killers                              ","1994","Woody Harrelson"
"Neutral                                           ","2001","Roberto Bestazzoni"
"Next                                              ","2007","Nicolas Cage"
"Next Door (Naboer)                                ","2005","Kristoffer Joner als John"
"Night at the Museum (Nachts im Museum)            ","2006","Owen Wilson"
"Night at the Museum 2                             ","2009","Amy Adams"
"Niko - Ein Rentier hebt ab                        ","2010","Peter Stefanov"
"No Country for old Men                            ","2007","Tommy Lee Jones"
"Notting Hill                                      ","1999","Julia Roberts"
"Nur mit dir (A Walk To Remember)                  ","2002","Mandy Moore"
"Oblivion                                          ","2013","Tom Cruise"
"Ocean's 11                                        ","2001"," Julia Roberts "
"Ocean's 11                                        ","2001","George Clooney"
"Ocean's 12                                        ","2004"," Julia Roberts"
"Ocean's 12                                        ","2004","George Clooney"
"Ocean's 13                                        ","2007"," Ellen Barkin"
"Ocean's 13                                        ","2007","George Clooney"
"On the Line                                       ","2001","Lance Bass"
"Once Upon a Time                                  ","2012","Ginnifer Goodwin"
"One Way                                           ","2007","Til Schweiger"
"Operation Walküre - Stauffenberg Attentat         ","2008","Tom Cruise"
"Operation: Kingdom                                ","2007","Jamie Foxx"
"Others, The                                       ","2001","Nicole Kidman"
"Oxford Murders                                    ","2008","Elijah Wood"
"P.S. – I Love You                                 ","2007","Hilary Swank"
"P.S. – Liebe auf Anfang                           ","2004","Laura Linney"
"Pacific, The                                      ","2010","Joseph Mazzello"
"Pakt der Wölfe (Brotherhood of the Wolf)          ","2002","Samuel Le Bihan"
"Pakt, Der (The Couvenant)                         ","2006","Steven Strait"
"Parfum, Das                                       ","2006","Dustin Hoffman"
"Password Swordfish                                ","2001","John Travolta"
"Pate I (The Godfather)                            ","1972","Marlon Brando"
"Pate II (The Godfather: Part II)                  ","1974","Al Pacino"
